X,Y,Point,Northing,Easting,Elevation,Distance,Transect,Geology Inclusion_Type,Infrastracture Inclusion_Type,Permafrost Inclusion_Type,Vegetation Inclusion_Type,Topography Inclusion_Type
-147.8298947,64.8526309,T3-050,7192288.725,460650.345,132.785,50,T3,SY,PFI,,MF,VB
-147.8299513,64.85264707,T3-053,7192290.562,460647.684,132.835,53,T3,SY,PFI,IWT,MF,VB
-147.8300123,64.85265349,T3-056,7192291.316,460644.804,132.927,56,T3,SO,PFI,IWT,MF,VB
-147.8300768,64.85265648,T3-059,7192291.689,460641.749,132.767,59,T3,SO,PFI,IWT,MF,VB
-147.8301284,64.85266897,T3-062,7192293.113,460639.321,132.81,62,T3,SO,PFI,IWT,MF,VB
-147.8301849,64.85267884,T3-065,7192294.248,460636.656,133.141,65,T3,SO,PFI,IWT,MF,VB
-147.8302444,64.85268913,T3-068,7192295.432,460633.85,133.195,68,T3,SO,PFI,IWT,MF,VB
-147.8303028,64.8526978,T3-071,7192296.434,460631.094,133.138,71,T3,SO,PFI,IWT,MF,VB
-147.8303613,64.85270585,T3-074,7192297.368,460628.33,133.182,74,T3,SO,PFI,IWT,MF,VB
-147.8304141,64.85271839,T3-077,7192298.798,460625.847,133.152,77,T3,SO,PFI,IWT,MF,VB
-147.8304772,64.85272298,T3-080,7192299.349,460622.859,133.226,80,T3,SO,PFI,IWT,MF,VB
-147.8305279,64.85275141,T3-083,7192302.548,460620.498,132.893,83,T3,SO,PFI,IWT,MF,VB
-147.8305807,64.85276362,T3-086,7192303.942,460618.011,133.18,86,T3,SO,PFI,IWT,MF,VB
-147.8306417,64.85276574,T3-089,7192304.216,460615.126,133.254,89,T3,SO,PFI,IWT,MF,VB
-147.8307025,64.85277042,T3-092,7192304.775,460612.247,133.229,92,T3,SO,PFI,IWT,MF,VB
-147.8307621,64.85277657,T3-095,7192305.498,460609.431,133.335,95,T3,SO,PFI,IWT,MF,VB
-147.8308244,64.85277791,T3-098,7192305.686,460606.48,133.269,98,T3,SO,PFI,IWT,MF,VB
-147.8308854,64.85278257,T3-101,7192306.243,460603.595,133.183,101,T3,SO,PFI,IWT,MF,VB
-147.8309466,64.85278571,T3-104,7192306.631,460600.699,133.607,104,T3,AF,PFI,,MF,VB
-147.8310075,64.85279207,T3-107,7192307.378,460597.819,133.761,107,T3,AF,PFI,,MF,VB
-147.8310668,64.85279472,T3-110,7192307.71,460595.01,133.586,110,T3,AF,PFI,,MF,VB
-147.8311295,64.85279468,T3-113,7192307.745,460592.039,133.716,113,T3,AF,PFI,,MF,VB
-147.8311962,64.85279513,T3-116,7192307.836,460588.876,133.686,116,T3,AF,PFI,,SF,VB
-147.8312574,64.85280354,T3-119,7192308.812,460585.988,133.784,119,T3,AF,PFI,,SF,VB
-147.8313165,64.8528125,T3-122,7192309.847,460583.198,133.772,122,T3,AF,PFI,,SF,VB
-147.8313737,64.85282443,T3-125,7192311.212,460580.502,133.89,125,T3,AF,PFI,,SF,VB
-147.831436,64.85282586,T3-128,7192311.41,460577.551,133.925,128,T3,AF,PFI,,SF,VB
-147.8314968,64.85282996,T3-131,7192311.905,460574.676,134.018,131,T3,AF,PFI,,SF,VB
-147.8315614,64.85283731,T3-134,7192312.764,460571.624,134.164,134,T3,AF,PFI,,SF,VB
-147.8316174,64.85284044,T3-137,7192313.148,460568.974,134.155,137,T3,AF,PFI,,SF,VB
-147.8316823,64.85284744,T3-140,7192313.968,460565.906,134.234,140,T3,AF,PFI,,SF,VB
-147.8317436,64.85285676,T3-143,7192315.045,460563.011,134.233,143,T3,AF,PFI,,SF,VB
-147.8318037,64.85286587,T3-146,7192316.098,460560.177,134.323,146,T3,AF,PFI,,SF,VB
-147.8318632,64.85287565,T3-149,7192317.225,460557.37,134.357,149,T3,AF,PFI,,SF,VB
-147.6167739,64.95067698,T2-148,7203099.731,470861.744,244.83,148,T2,ELS,PFI,ITKD,SF,NFS
-147.6166602,64.95065436,T2-154,7203097.158,470867.09,245.096,154,T2,ELS,PFI,ITKD,SF,NFS
-147.6165499,64.95062793,T2-160,7203094.161,470872.275,245.435,160,T2,ELS,PFI,ITKD,SF,NFS
-147.6164356,64.95060427,T2-166,7203091.472,470877.648,245.659,166,T2,ELS,PFI,ITKD,SF,NFS
-147.6163225,64.95058048,T2-172,7203088.769,470882.966,245.83,172,T2,ELS,PFI,ITKD,SF,NFS
-147.6162077,64.95055614,T2-178,7203086.003,470888.36,246.071,178,T2,ELS,PFI,ITKD,SF,NFS
-147.6160919,64.95053354,T2-184,7203083.431,470893.81,246.501,184,T2,ELS,PFI,ITKD,SF,NFS
-147.6159758,64.9505119,T2-190,7203080.966,470899.268,246.721,190,T2,ELS,PFI,ITKD,SF,NFS
-147.6158625,64.95049157,T2-196,7203078.649,470904.602,246.896,196,T2,ELS,PFI,ITKD,SF,NFS
-147.6157427,64.95047199,T2-202,7203076.411,470910.239,247.148,202,T2,ELS,PFI,ITKD,SF,NFS
-147.6156257,64.95045352,T2-208,7203074.299,470915.745,247.44,208,T2,ELS,PFI,ITKD,SF,NFS
-147.6155092,64.95043095,T2-214,7203071.73,470921.227,247.651,214,T2,ELS,PFI,ITKD,SF,NFS
-147.6153939,64.95040718,T2-220,7203069.028,470926.646,248.102,220,T2,ELS,PFI,ITKD,SF,NFS
-147.6152828,64.95038501,T2-226,7203066.507,470931.87,248.274,226,T2,ELS,PFI,ITKD,SF,NFS
-147.6151674,64.95036375,T2-232,7203064.084,470937.298,248.76,232,T2,ELS,PFI,ITKD,SF,NFS
-147.6150514,64.95034347,T2-238,7203061.771,470942.756,248.993,238,T2,ELS,PFI,ITKD,SF,NFS
-147.614932,64.95032681,T2-244,7203059.86,470948.379,249.281,244,T2,ELS,PFI,ITKD,SF,NFS
-147.6148043,64.95031273,T2-250,7203058.232,470954.399,249.52,250,T2,ELS,PFI,ITKD,SF,NFS
